HUD CoC Number,2015,2016,2017,2018,2019,2020,2021
TN-501,0.934,0.967,0.976,0.982,0.939,1,1
TN-502,0.895,0.897,0.892,0.933,1,0.902,0.903
TN-503,1,1,1,1,0.873,0.876,0.952
TN-504,0.173,0.247,0.984,0.205,0.189,0.238,0.439
TN-506,0.332,0.58,0.189,0.19,0.638,0.615,0.563
TN-507,0.271,0.723,0.848,1,1,0.81,0.852
TN-509,0.519,0.491,0.428,0.388,0.412,0.36,0.468
TN-510,0.558,0.568,0.517,0.276,0.371,0.957,1
TN-512,0.205,0.34,0.203,0.103,0.336,0.263,0.393
TX-500,0.955,0.981,0.991,0.988,0.987,0.989,0.992
TX-503,1,0.968,1,1,1,1,1
TX-600,0.241,0.302,0.405,0.558,0.579,0.581,0.718
TX-601,0.802,0.767,0.741,0.729,0.766,0.962,0.971
TX-603,0.646,0.65,0.668,0.656,0.643,0.627,0.752
TX-604,0.877,0.909,0.859,0.716,0.6,0.593,0.617
TX-607,0.551,0.593,0.642,0.647,0.655,0.61,0.613
TX-611,1,1,1,0.973,1,1,1
TX-624,0.897,0.897,0.885,0.885,0.853,0.872,0.769
TX-700,0.984,0.992,0.984,0.753,0.993,1,1
TX-701,0.909,0.967,1,1,0.813,0.813,0.813
UT-500,0.899,0.9,0.912,0.865,0.895,0.917,0.966
UT-503,0.804,0.858,0.893,0.852,0.888,0.853,0.969
UT-504,1,1,1,1,0.831,1,1
VA-500,0.912,0.917,0.917,0.858,0.913,0.964,0.969
VA-501,0.554,0.353,0.343,0.991,1,1,1
VA-502,0.976,0.977,0.976,1,1,1,1
VA-503,0.873,0.983,0.995,1,0.688,0.688,0.704
VA-504,0.968,0.135,0.293,1,1,1,1
VA-505,0.631,0.665,0.654,0.583,0.606,0.763,0.77
VA-507,1,1,0.889,0.889,0.479,0.468,0.545
VA-508,0.908,1,1,1,1,1,1
VA-513,0.718,0.738,0.573,0.294,0.294,0.716,0.808
VA-514,0.937,1,1,1,1,1,1
VA-521,0.485,0.431,0.519,0.483,0.422,0.439,0.636
VA-600,1,1,1,1,1,1,0.987
VA-601,0.921,0.994,1,1,1,1,1
VA-602,0.967,0.861,1,0.464,0.538,0.683,0.681
VA-603,1,1,1,1,1,0.648,0.636
VA-604,1,1,1,1,0.854,0.987,1
VI-500,0.729,0.863,0.87,0.364,0.843,0.877,0.849
VT-500,0.431,0.715,0.806,0.852,0.862,0.862,0.846
VT-501,0.098,0.11,0.091,0.702,0.839,0.936,0.964
WA-500,0.795,0.793,0.775,0.807,0.817,0.816,0.856
WA-501,0.647,0.771,0.724,0.595,0.565,0.518,0.671
WA-502,0.514,0.486,0.59,0.592,0.594,0.613,0.607
WA-503,0.953,0.905,0.988,0.969,0.957,0.952,0.944
WA-504,0.926,0.971,0.953,0.958,0.95,0.981,0.986
WA-507,0.493,,,,,,
WA-508,0.978,0.969,0.981,0.979,0.977,0.972,1
WI-500,0.863,0.816,0.862,0.916,0.898,0.829,0.849
WI-501,0.924,0.985,0.985,1,1,1,1
WI-502,0.965,0.944,1,1,0.994,1,1
WI-503,0.883,0.905,0.899,0.888,0.885,1,1
WV-500,1,0.952,0.787,0.817,0.952,1,0.909
WV-501,0.988,0.952,0.946,0.949,0.933,0.928,0.934
WV-503,0.585,0.56,0.533,0.587,0.675,0.675,0.831
WV-508,0.717,0.866,0.858,0.871,0.849,0.85,0.852
WY-500,0.771,0.87,0.79,0.789,0.96,0.833,0.944
